"Zhmak","Kirilenko"
"HARDING","NORWAY"
"KHOLOMEEV ","RUSSIA"
"El-Ahmady","Onstott"
"GUPTA","India"
"Karwur","Djarum 1"
"Harfouche","Lebanon"
"Bathurst","Milner"
"Liu J","CHINA"
"Chakradeo","India"
"SACUL","DKI JAKARTA"
"M Kwiecien","Beauchamp"
"Zhang YL","Huayuan"
"Lavery","NIBU"
"Smith","Lall"
"Ino","TAJIMA"
"B.Cronier","MOUIEL"
"Venkatesh","Venkatesh"
"zia","USA"
"KUBAC","KUBAC"
"Buras ","Pacific"
"k srinivas","Kaushik"
"T. BERG","Denmark"
"UPMARK","BK LAVEC SMILE"
"Boardman","New Zealand 1"
"Owen","Wales"
"Thuillez L","France"
"Wtulingas","BNI 46 Jakarta"
"JOURDAIN","WALES"
"Neill","New South Wales"
"Sabourin","Frukacz"
"rogerfan","CCUB"
"Morath","Sweden"
"Karwur","Indonesia"
"Yang LX","China"
"Dong LD","Qin Lian Club"
"RECKY","NORTH SULAWESI"
"BESSIS T","NC FRANCE"
"GROENENBOO","NETHERLANDS"
"Viennois","VIENNOIS"
"Simon","Austria"
"A. Cheng","HKHZ Connection"
"Shi Haojun","China Blue"
"FARHAT","MANO"
"Fallenius","Sweden"
"J Carroll","Ireland"
"McGann","Europe"
"Kapagianni","Zotos"
"Cohen","Scotland"
"SUWIK","Suwik"
"Liu","China Global Times"
"Klinger","HAUGHIE"
"Brink","Ned White"
"Ronconi","Dellecavakis"
"WANG_W","China"
"Thomasberg","Austria"
"Senior","England"
"Dai JM","China SMEG"
"Von Armin","Karlsruher"
"Gary Jones","Wales"
"Wang","China Global Times"
"FTerraneo","MORITSCH"
"RENNO","LUXEMBOURG"
"NARKIEWICZ","ARASZKIEWICZ"
"Rosendorff","Rosendorff"
"Brogeland ","Norway"
"Montin","STEINER"
"Miyakuni","NAITO"
"Helness Tor","Norway"
"SCHERMER","LYNCH"
"H Lall","Mixed"
"Rudakov E","RUS"
"Szyszkowsk","Lancia"
"St Marie","FRANCE"
"Schou","NC DENMARK"
"ROSENBERG","USA2"
"Radin","Moss"
"HOWARD.J","AUSTRALIA"
"Pikus","Poland"
"Veksha","Juras EZI"
"TH JONSSON","ICELAND"
"Bach","Oz Players"
"Robinson","MILNER"
"subir","MANYAWAR"
"Navwrocki","Poland"
"A.Jusuf","BNI IndonesiaSenior"
"SAELENSMIN","Hauge"
"Chen Yi","Shen Jiu"
"Li Jie","Evertrust"
"KREKORIAN","SCHWARZ"
"BROCK Sara","GREAT BRITAIN "
"HIZER M.","ELLIA"
"SADAR","SLOVENIA"
"Zaleski","Zaleski"
"Szalay","SZALAY"
"Sobolewska","HARASIMOWICZ"
"Fastenakel","Belgium"
"ZANASI","ALLEGRA"
"Rouquillau","Lasserre"
"CICHOCKI","PUCZYNSKI"
"M.Mullamph","Oz Players"
"VERHEES","ORANGE 1"
"Ditetova","PRAHA"
"Courtney","Sydney 3"
"Campos","Amaral"
"N.L'Ecuyer","Canada"
"Courtney","Courtney"
"Ricciarelli","ITALY"
"Furuta","PABF Open"
"Wang WF","China"
"HAYDEN","USA2"
"S.Chokshi","India"
"SHI. H","POLAND"
"B T Polii","KEPRI"
"SEN","TURKEY"
"v Prooijen","THE NETHERLANDS"
"Desmoulins","Rocafort"
"Jagniewski","Bridge24"
"Michael Rosenberg","Welland"
"D'OVIDIO C","PAYEN"
"Li J.H","Shanghai"
"W van Zwol","NETHERLAND"
"Schneider ","Germany"
"LAIR","LYNCH"
"Matheson","Sime"
"Gal","Tutu"
"QUANTIN","France"
"Horton","HELMAN"
"R Adams","Ireland"
"HAYES","Latvia"
"Pesonen J","Finland"
"A. Yamada","Yamada"
"Kopecky","Czech Republic"
"Creange","LEVY"
"COMBESCURE","FRANCE"
"YANG","CHINESE TAIPEI"
"Ericsson K","SWE"
"Panelewen","PUTRA NASIONAL"
"D'Avossa","Bridge Allegra ITA"
"PALMER","USA 1"
"BOMPIS M.","BLUMENTAL"
"Gilbert","SENGKOL LOMBOK"
"Khven","Avalanche"
"Armstrong","Not the Empire"
"Jacob","NEW ZEALAND 1"
"Berg M","(SW"
"Teshome","Team 1"
"Vainikonis","Lithuania"
"ESPINOSA-P","ARGENTINA"
"ZAXXON","Bulgaria"
"M.O'Briain","CBAI"
"Gu Ling","Beijing"
"ROSSANO","GS Idea Br. TO"
"Pazur","Jagniewski"
"R.Tobing","Indonesia"
"Tuszynski","Miroglio"
"Long H","Meikuang"
"VROUSTIS","Greece"
"GUPTA","FORMIDABLES"
"SIMONS","NETHERLANDS-1"
"Basabe","SPAIN"
"DE WIJS","The Netherlands"
"Katz","Goldman"
"Cormack","MacDonald"
"WILDAVSKY","Switserland"
"Karpov","Estonia"
"Lagreere","Itin du bridge"
"Batov V","Bulgaria"
"FRACTMAN","SPAIN"
"KENJI3892","Japan"
"Boyd","Meltzer npc"
"LEVIN","USA1"
"Goldenfield R","England"
"E.Serdar","NONAME"
"Shi M","Meikuang"
"Marinoni","Totani"
"May M.","Poland"
"Shen JX","Shen Zhen Ping An"
"GAVIARD","DE TESSIERES"
"BESSIS M","France"
"Vogt","DESPERATE BW"
"GREENHAL","ENGLAND"
"Atabey","BC TOFAS TUR"
"Feldman","MELTZER"
"seale","England"
"T Rogi","North Celebes"
"WILLENKEN","VARENNE"
"UCAR","TURKEY"
"BARBOSA","Brazil"
"PEHLIVAN","Turkey"
"Koistinen","FINLAND"
"Mooney","Oyzum"
"jankova","Czech Republic Red"
"Vassilev","Quantum"
"Tsang YC","China Macau"
"ROBINSON","AUSTRALIA"
"Baum","Griffey"
"Mari","France"
"S.Hans","Australia"
"Zmudzinsky","Joel"
"Shah J.M.","TEXAN ACES"
"CHAGAS","BRAZIL"
"J. UPMARK","BK ST Erik"
"T Asbi","Mitra Buana"
"Angelini","Angelini"
"Rouquillau","de Monval"
"GHAZI","PAKISTAN"
"Ja Hackett","Europe"
"GROMOV","APOLLOSOYOUZ"
"Sandqvist","J De Botton"
"Garner","WELLAND"
"Kuang YG","Cai Fu"
"GIUBILO","BRENO BRIDGE"
"Kahraman","Turkey"
"BESSIS.M","Izisel"
"NARASIMHAN","USA 1"
"Huang JJ","Taiwan Shuai"
"S. Picus","Narasimhan"
"Rodwell","Nickell"
"Kaminaris","Greece"
"Manoppo","Indonesian Senior"
"Marlin","Malta"
"Brum. P.","Brum"
"Schermer","Schermer"
"Kholmeev","Prohorov"
"T.Imakura","Japan"
"CAMMI","A.S.D. FIRENZE"
"S.Auken","Denmark"
"DRIJVER","Netherlands"
"Gu RJ","Shen Jiu"
"KORDY Adel","EGYPT"
"Rana Roy","Shree Cement"
"Parezanin","S&MN"
"SEEPERSAD","Trinidad & Tobago"
"Cronier P","FRANCE"
"Hegedus Gal","Hungary"
"Sigurdarso","Iceland"
"Starkowski","AWAY"
"Letizia","STEINER"
"EKINCI","Turkey"
"STRETZ","CRONIER"
"MOUIEL","ZIMMERMANN"
"Szymanowski","Poland"
"T.Bessis","BESSIS"
"MIDSKOG Ca","SWEDEN"
"S. Auken","Mixed"
"ARCZEWSKI","PAJAK"
"KLEMMENSEN","DENMARK"
"CHAMPION","USA 1"
"A.Suriya","Thailand"
"East","Chinese Taipei"
"Bertheau","HENNER"
"DEAS Lynn","USA 1"
"Meckstroth","Also changes"
"PUNIT G","Arun Jain"
"Zhang YL","Beijing Ladies"
"Castanheir","Sofia Pessoa"
"CARROLL John","Ireland"
"Kapayianid","Zotos"
"Horwitz","Horwitz"
"DI FRANCO","C.LO TENNIS PALERMO"
"Tommy","Banteng Selatan"
"Gan  Debin","Mai Zi Fu Shi"
"Balicki","Avalanche"
"LAURIA","Cayne"
"Jerry","Indonesia"
"Gerstman","Carmichael"
"Nunes","Tennis Club Parioli"
"M.Hirata","Yamada"
"JACOBUS","O'Rourke"
"Olanski ","Vainikonis"
"Mela","England U20"
"Brogeland","NORWAY"
"Senguler Z","Turkey"
"Sekizawa","Japan"
"Duboin","Torino Allegra"
"Popova","Bulgaria"
"FILIPOWICZ","MARTENS"
"SWeinstein","Jacobs"
"Bessis O.","De Tessieres"
"Sun Ming","Huochetou"
"Chi-cheung","Hong Kong"
"Yanagisawa","No Problem"
"WEINSTEIN","Lee"
"SAADA","Israel"
"Levy A.","ZIMMERMANN"
"Li KB","Taiwan Longkatong"
"Multon F","FRA"
"fazzardi","San Marino"
"SEAMON","Cayne"
"MULLER","BOMBARDIERI"
"Peckett","Canada"
"Lazer","Sydney 3"
"Eisenberg","IZISEL"
"MIHOV","CHATEAU ROSSENOVO"
"HAEUSLER","BAMBERGER "
"Rogov","Team 1"
"taufik","Indonesia Open"
"VERHEES Jr","BC'T ONSTEN"
"ENOCH","WEST BORNEO"
"J. Grenthe","Bessis.O"
"Morgan","Schermer"
"RINGUET","France"
"R. Richman","Australia"
"JONES.E","England"
"Nick G","Thurston"
"Schroor","AUSTRALIA"
"Xie ZB","Sichuan"
"Mihov","Quantum"
"Lauria","Weed - npc"
"ASBI","DKI Jakarta"
"Reiplinger","Chemla"
"G Wolfarth","Wolfarth"
"Volhejn","Czech Rep"
"Glubok","Welland"
"STEFANOV","K1"
"HELGEMO","ZIMMERMANN"
"DEY","INDIA"
"Penfold","Team 1"
"MYERS.R","England"
"Kras'ski","Russia"
"Granovette","MILNER"
"McGann","EUROPE"
"Bompis","FRANCE"
"Bieder","Table 1"
"Elinescu","BAMBERG"
"DRIJVER Bas","Netherlands"
"Tuwanakott","Team 1"
"H Christie","NEWMAN"
"Bilski","Neill"
"Moss","Grue"
"St Marie","Bessis"
"Zhou SH","Yi Tong"
"Sharp","Wales"
"BAUSBACK","LUXEMBOURG"
"Jassem","JASSEM"
"Notkin","Team 1"
"Dyke","Team 1"
"Salama","Chemla"
"Weichsel","Rugin"
"Gill","TISLEVOLL"
"penfold","England"
"Helgemo","England"
"G Rubenis","JELENA"
"Wrang","VENTIN"
"Borm","Team 2"
"Cichocki","Poland"
"Hallberg","Gillis"
"Pepsi","MAHAFFEY"
"Briciu","Romania"
"Gromoller","BAMBERGER REITER"
"DHONDY","DHONDY"
"Gaddi","RE - FORNACIARI"
"Angelini","TC Parioli ITA"
"ZANASI","G.S. Allegra"
"Senior","Penfold"
"Erbil","Noname"
"Cheek","Johnson"
"Somers","SQUEEZE I"
"Chen Ping","Heng Yuan Xiang"
"BERTHEAU","BK St Erik"
"S Rocca","De Muller"
"Uhlmann Ho","Germany"
"Bryan Maksymetz","Eisenberg"
"Ricciarell","Reggio Emilia"
"T. Bessis","France"
"","Ireland"
"STAMATOV","TITAN"
"SCHOLLAAR","Netherlands"
"BOCKEN","BELGIUM"
"L.Geurson","New Zealand"
"CULLIN Per-Ola","SWEDEN"
"BAKER Lynn","USA 1"
"Pinto","PORTUGAL"
"Etter","TRITT"
"FORNACIARI","ASB R. EMILIA"
"North","WHY NOT"
"Schaltz D","Denmark"
" I","Bulgaria"
"HACKETT","GERMANY"
"ARNOLD","KASLE"
"Broersen","NS"
"Joice M","Indonesia"
"Zhao","CHINA"
"Altshuler","Altshuler"
"Negoescu","Romania"
"BRENNER","LANCIANO"
"T BAKKEREN","NED AUT"
"ZAGORIN","USA 2 "
"M Bristow","Central Districts"
"HERBST  O","ISRMANY"
"HU Sheau-F","CHI TAIPEI"
"SANBORN Sh","USA"
"L BILDE","DENMARK"
"Huang JR","Taiwan Shuai"
"Takahashi","Okay"
"Jassem","Poland U20"
"BECKER","SCHWARTZ"
"Watulingas","INDONESIA"
"Cohen","Cohen"
"Gracin","Croatia"
"Dwyer","LIEN"
"Zhou Tao","Huochetou"
"Gyles","Scotland"
"Meade","Wales"
"South","McMahon"
"GRUNDER","SOUTH AFRICA"
"Sha CW","Kunshan Zhonghai"
"EARL","BROD"
"Volcker","HOME"
"Hantveit","Hordaland 2"
"Milner R","Milner"
"Verhees","NEDUK"
"F Goded","THE LATIN"
"PAR PAR","West Java"
"West","Russia"
"Sutherlin","USA 2"
"REES V","NEVE"
"Keyzad","TEXAN ACES"
"Freeman","USA 1"
"Mott","Snow"
"DI BELLO F","PALMA - VILLA FABB."
"Volcker","MEYER"
"Nimara","I P Suralaya"
"P Soloway","USA"
"Montin","Usa"
"Gill","Horwitz"
"Verbeek","Dutch Blue"
"DENNING P","Wales"
"Amoils","Grue"
"Fantoni","Angelini BT-TCP"
"B.Saurer","Austria"
"JACOBS","JACOBS"
"DUFRAT","CONNECTOR POLAND"
"MADALA","LAVAZZA"
"Araszkiewi","ARASZKIEWICZ"
"CATARSI","Pisa"
"CASTELLO B","BRAZIL"
"Russ Ekebl","EKEBLAD"
"LAANEMAE","Estonia"
"Sveindal","Norway"
"M O'Brian","Ireland"
"Jiang LQ ","Taizhou"
"Semenov","Team 1"
"F.FANTONI","RIOLO"
"Drijver","Ned White"
"CHARLSEN T","DE BOTTON"
"amstrong","England"
"ZORLU","TURKEY"
"C.Yeh","DEPPO"
"Danialov","Juls"
"Bilski","NOBLE"
"TOTARO","PADOVA - ROMANIN"
"Lomas K","Nor Ire"
"Yadlin Israel","Israel"
"Clarke","JAGELMAN"
"volcker.f","France"
"SIMON","Table 1"
"Walsh","Rep of Ireland"
"AMSEL","BCOB"
"Nana","Djarum 2"
"GERSTMAN D","USA 2"
"ASKGAARD M","DENMARK"
"SBILI","MOROCCO"
"Shi HJ","Shanghai    "
"BX Zhang","Shenzhen"
"GROMOV. A","RUSSIA"
"natsuki","BTU-P"
"West","GERMANY"
"DEMUY","USA"
"Hop","Team 2"
"MOUIEL H.","ZIMMERMANN"
"POPLILOV","ISRAEL"
"Chris","X-Men"
"Cambournac","Morocco"
"hu.j","China"
"AUKEN","ZIA"
"Gobril","Maia"
"RITMEIJER","NETHERLANDS"
"Zmud","Gromov"
"Willenken","Mahaffee"
"K Nelson","Team 1"
"L Cohen","Schwartz"
"DEWI","INDONESIA"
"DeLivera","Gaspar"
"Mayer","New Zealand"
"Polet","BELGIUM"
"Jeddy","Brifman"
"Bakkeren","Orange Green"
"Lund Madsen L","Denmark"
"Bitran","Lormant"
"MOONEY","ARGENTINA"
"Townsend","Forrester"
"PUCZYNSKI","CICHOCKI"
"Sher","Weinstein"
"Fredin","Schwartz"
"FANTONI Fulvio","ITALY"
"E. Verbeek","NS"
"Wernle","NED AUT"
"Rozenblum","GUDOK-2"
"Ralph Katz","Jacobs"
"Porter","Australia"
"Chen","JAPAN Open"
"Miszewska","SUWIK"
"KANNAVOS","Greece"
"HUSSEIN","EGYPT"
"RAJU T","Sunil Machar"
"SMITH","ENGLAND"
"ASSMANN","AUSTRIA"
"E Gladsh","Russia"
"BIANCHEDI","ARGENTINA"
"Waterlow","Hackett"
"Winkel","BC Star"
"Sun WH","Sanchen"
"Zhu MR","Sheng Tao Sha"
"Andersen","Herning BK"
"KORZUN","BELARUS"
"I. Korengk","DKI JAYA"
"Zhuang ZJ","China"
"Buras","CONSUS Kalisz"
"Jane Skipp","New Zealand 2"
"SHAH","TEXAN ACES"
"Eskes","Netherlands"
"Byrne","EBU"
"Zorlu","BESIKTAS - TURKEY"
"Bogen","Hist"
"G VENKATES","Texan Aces"
"Bondat","France B"
"Kaczmarski","KADIMEX"
"Malinowski","de Botton"
"Dhondy H","England"
"Cooke","EBU"
"Mahmood","USA"
"N Francis","Australia/India"
"C.Shunta","USA RED"
"Briolini","San Marino"
"Frankie ","Indonesia"
"Dawei","TAJIMA"
"Li Xin","Beijing Shouchuang"
"Jack Zhao","China SMEG"
"Janssens O","Netherlands"
"ZACK","Bareket Israeli NC"
"West","CBAI"
"S Green","Helle"
"Karamanlis","GREECE"
"Elita","Geologi Timah C"
"Krasnosels","Team 1"
"SUMAR","UAE"
"JONES","Wales"
"HELGEMO Geir","NORWAY"
"Gold","Irens"
"IVANOVA","BATOV"
"SIMPSON","USA2"
"Rahelt","DENMARK"
"Levitina","USA 1"
"Huang","Yeh Bros"
"HAUSLER","BAMBERGER"
"PIEKAREK","Germany"
"M.Whibley","New Zealand"
"Parezanin","SERBIA"
"Cho","Aces & Deuces"
"Vorobeichi","Russia"
"CHEEK","USA"
"Callaghan","Monachan"
"MOLVA","TURKEY"
"Klinger","Team 1"
"de_Wijs","NETHERLANDS"
"PUCZYNSKI","PUCZYNSKI"
"McManus","McManus"
"Bloom","Eber"
"v PROOIJEN","ONSTEIN ACES"
"Nystrom","Rosenthal"
"Michielsen","Netherland Red"
"Kaplan","AUSTRALIA"
"GINNOSSAR","WOLFSON"
"West","Bulgaria"
"Leao","Chagas"
"PICUS","CAPRERA"
"Kwiencien","Mixed"
"PONOMAREVA","GRNC - RUSSIA"
"Nab","Modalfa"
"Dubinin","Avalanche"
"Kasprzak","Poland"
"Cullin P","(SW"
"Haeusler","BAMBERGER"
"GRUE","USA 2"
"STEFANOV","BULGARIA"
"BRICIU","Romania"
"NEILL Bruce","AUSTRALIA"
"SteMARIE T","BLUMENTAL"
"Lasut","BNI IndonesiaSenior"
"Cheng Qian","Shiji Changda"
"RODWELL","Nickell"
"guaint","NTHU"
"Huiban","B.C. Rennais"
"Cole","Cole"
"MULTON","MONACO FMB"
"WILDAVSKY","SWITZERLAND"
"Basabe","Spain"
"Chira","Victoria"
"BOJOH","INDONESIA"
"Spea
"Fenton","Radhey"
"Kasler","Michaud-Lariviere"
"Gawrys","Schwartz"
"Liu HT","Zhong Jian"
"Di Bello F","Villa Fabbriche"
"M.Z.Campanile","Israel"
"shimizu","NAITO"
"Delle Cave","Dellecavakis"
"Bompis","BLUMENTAL"
"ADAD","France"
"Cattabiam","Roma 1"
"Pulga","Villa Fabbriche"
"J WOLPERT","USA1"
"ADAD P.","LEENHARDT"
"Wold","Lynch"
"Kelly P","ROI"
"Fischer","Austria"
"Sumarauw","Gabmo III"
"Martel","WELLAND"
"Rudia","RIAU"
"Cui GS","Meikuang"
"El-Mashad","El Shams Club"
"","Poland"
"WOOLDRIDGE","USA2"
"R.Tobing","Mitra Buana"
"KLADT","MANOEL"
"Zhong Pei","Guang Zhong"
"Whittaker W","Scotland"
"Wahyu","Central Java"
"Balicki","GROMOV"
"Sztyrak","MRANGOWIA"
"Rudakov","Gomerov"
"Furunes","Norway"
"Zegilewicz","Team 2"
"STOCKDALE ","GREAT BRITAIN"
"Choo Wai","International Team"
"Deleva","DE BOTTON"
"SUTHERLIN","KASLE"
"Auken","Denmark"
"Barbosa","Brazil"
"Gayazka","Warsaw 2"
"Volcker F","Paris Sud"
"CASPANI","BRIDGERAMA MI"
"Herbst Ilan","Israel"
"Severgnini","CBC Milano"
"Valak","Croatia"
"Narkiewicz","POLAND"
"Maksymetz","Rigal"
"FREDDY","PAPUA"
"Quantin","Blumental"
"Zheng YX","Hebei/Shihua"
"Kholomeev","Russia"
"Linda Lewi","Quinn"
"BAKUL SHAH","INDIA"
"Darcey","Wellington"
"JACCO","DUTCH JUNIORS"
"Auken","GERMANY"
"LEVINGER","ISRABEL"
"Jacky IP","China Hong Kong"
"BRAMLEY","USA 2"
"Pedak","Estonia"
"DEAS","USA2"
"Razvigorov","Slaveikov.bg"
"Fitzgibbon","Mesbur"
"Chatzidaki","Roussos"
"Rosario","China Macau"
"COYNE","Ireland"
"Yilmaz G","Turkey"
"Huang JJ","Qiao Yi Tang"
"Tesla","Tesla"
"Kusajri","India"
"N.Bocchi","Italy Lavazza"
"Olanski","Vainikonis"
"Lian Ruoyi","China Blue"
"Backstrom","Lehtinen"
"G Liggins","England"
"UPMARK","SWEDEN"
"D'OVIDIO","France"
"Grue","Henner-Welland"
"YADLIN D","ISRAEL EIDI"
"Lauria","I"
"selway","England"
"Kierznowsk","CHLODNIA"
"Bakan Hg","Turkey"
"R. Palmer","Scerri"
"Gotard Bar","GOTARD"
"Smirnov","Germany"
"Zhang Jind","Jin Ying"
"Drijver","NETHERLANDS"
"Sementa","Italy I"
"Wasik A","Spain"
"Helmich","Netherlands B"
"Nick Nickell","Nickell"
"ZHANG Y Z","MeiLinQingCheng"
"DHERMAIN","KERLERO"
"KANG","BEIJING TRINERGY"
"Versace","Angelini"
"Hallberg","Townsend"
"VOINESCU","Romania"
"Malinowski","Young Chelsea"
"Samjee","South Africa"
"DUGUET MI","ALAIN LEVY"
"Lambrinos","Greece"
"Montenari","Italy"
"Townsend","ENGLAND"
"Wolkowitz","Yates"
"WangWenfei","CHINA Women"
"BRAMLEY","Bramley"
"Narkiewicz","CONSUS Kalisz"
"S F Fung","China Hong Kong"
"UPMARK","Sweden"
"Bertens H","Croatie"
"K. Buras","DWORAN"
"RUSO ","Croatia"
"price","England"
"MAAS","NETHERLANDS"
"Tsoi","Dragon Cartoon"
"vd Toorn","Neth Girls and boys"
"Gordon","Gordon"
"Klidzeja","Juras EZI"
"KSHIRSAGAR","INDIA"
"Gromov","SYGNITY"
"Angki","LBC"
"Faigenbaum","BLUMENTAL"
"Yang","China"
"Nunn","HORWITZ"
"Filipowicz","CONSUS"
"Lian Yong","Sheng Tao Sha"
"S Naito","NAITO"
"Dumbovich","Gamax"
"Gromov","Russia/Poland"
"Zhuang ZJ","China SMEG"
"Lawrence L","Ambassador"
"ARONOV","Bulgaria"
"Yamada","TAKA"
"Moffat","Caldwell"
"South","ISRAEL"
"M.Encontro","Philippines"
"KOMARUDIN","BANTEN"
"MANTCHEV","Bulgaria"
"MICHIELSEN","NETH. RED"
"BJERREGARD","Sweden"
"Catarsi","Pisa"
"LEE","USA"
"Tez","Bodrum BC Turkey"
"MULYADI","BANTEN"
"P David","Brasil"
"La Spada","4 TREFLES 1"
"PACHTMANN","BESSIS"
"GOWER Craig","SOUTH AFRICA"
"MEDUSEI","PRIANO"
"Nakamura","Shimuzu"
"Janssens","Netherlands"
"I.Yadlin","Israel"
"KLUKOWSKI","CONNECTOR"
"Li Jie","Xinyuan"
"Mark Molson","Ekeblad"
"N. SENIOR","England"
"Williams","Australia"
"Otis","Geologi Timah"
"Multon F","France"
"ye","England U20"
"ONG","SINGAPORE"
"Nabil","Egypt"
"NANEV","BULGARIA - K1"
"Silver","CANADA"
"PSZCZOLA","MAHAFFEY"
"Madala","Italy 1"
"YAVAS","TURKEY"
"Balicki","POLAND/RUSSIA"
"Furuta","JAPAN YOI"
"Gianino","Catania"
"Murphy","Cooper"
"MOSS","USA"
"XuNanhai","Wu Xiao Bing"
"Li GH","Zhejiang Taizhou"
"Aminian","Nyon"
"TSadek","Katz"
"WuYuwei","Lin Rong Qiang"
"Brink","van Prooijen"
"Gal Hegedus","Hungary"
"HARANGOZO ","HUNGARY"
"Wimpy","Geologi Timah A"
"A. Kalcsev","DEAC-Miskolc"
"WOLPERT","Milner"
"Weinstein","WELLAND"
"Kwiecien","Also Changes"
"Buras","TOPEKO"
"Wang BL","Taiwan Jiangyou"
"Multon","MARI"
"Bekkouche","SCHALTZ"
"V Kovachev","BULLGALIAN ALL STAR"
"SZALAY","Hungary"
"Zia","Auken"
"TOMA","BRAZIL"
"Brink","Orange"
"FANTONI","Cayne"
"M.Whibley","Australia Youth"
"J.Weinstei","Ozdil"
"Garner","USA 1"
"Ramer","Markowicz"
"GERMANIS","SMILGAJS"
"Cronier P.","Cronier"
"Armannsson","Iceland"
"Bertens","M' Orange"
"JHikaru","BTU-P"
"Arasz","Poland"
"D BILDE","DENMARK"
"Jacob","Reid"
"Charlsen","Bergen Akademiske"
"DWYER","USA BLUE"
"L_Madsen","Denmark"
"BADAL DAS","DHAMPUR SUGAR MILLS"
"Robson","USA/EGYPT"
"S.Some","BIMAL SICKA"
"letizia","Moss"
"RAMADI","WEST BORNEO"
"Wiltshire","Wiltshire"
"KRISHNAN","INDIA"
"Shan Sheng","Jing Tie"
"fruitman","BTU-U"
"JOHANSEN","Heimdal BK"
"Bocchi","Torino Allegra"
"Stefanov","De Knijff"
"J. Sandor","6L"
"BERTHEAU","BERTHEAU"
"NYSTROM","SWEDEN"
"Bach","Changes"
"Diklic D.","Croatia"
"Gierulski","NATIONAL TEAM"
"A.Ozer","NONAME"
"Marashev","BULGARIA"
"Lo","GU"
"VENKATARAM","INDIA"
"VINAY D","Sunil Machar"
"manna","Radhey"
"Brink N","NET"
"BALICKI","Poland "
"Vincetelli","Monaco"
"SENIOR","England"
"Cronier B.","CRONIER"
"LiuHT","Li Xiao Lei"
"Cheuk-hin ","Hong Kong"
"Filipowicz","POLFA"
"FICK","SOUTH AFRICA"
"Otis","SOUTH SULAWESI"
"HARTONO Mi","INDONESIA"
"D Jones","Hasenson"
"KOTOROWICZ","KALITA"
"Nunes","T.C.P. Angelini"
"T Rees","Wales"
"TUSZYNSKI","POLAND"
"Andreev V.","Team 2"
"Gru","GRUNT"
"Brenner","D'Orsi - Chagas"
"Sumit M.","C. V. Rao"
"JANNY","PAPUA"
"Wackwitz","Netherlands U20"
"Di Bello F","ITA"
"Passell","Cohler"
"Stefanov","Quantum BC"
"Hu J.P.","Shanghai"
"C.Balicki","SYGNITY"
"Teramoto","Japan 1"
"KOLATA","KOLANKAYA"
"BURN","England"
"BATES","Meltzer"
"Gumby","Gumby"
"Gosney","Sydney"
"Czerniewsk","EBU"
"Jason","Sandqvist"
"WANG. W","CHINA"
"Pyatkov","Team 1"
"Kozikowski","KOZIKOWSKI"
"TUNDAL","NORWAY"
"de Pagter","EW"
"CATTANEO","TO - GARRONE"
"NYSTROM","Di Knijff"
"VLAJNIC","Serbia&Mon."
"LABAERE","Belgium"
"Malinowski","DE BOTTON"
"North","England"
"ginossar","Israel"
"BALASOVS","Latvia"
"MIHAILOV","BULGARIA"
"FILIPOWICZ","POLAND"
"Grosset","Vinay"
"ember0223","BTU-P"
"Barnay","Austria"
"BRUUN","DK"
"Franchi","Italy"
"Pasman","NETHERLAND"
"capal","England"
"Irina L.","Narasimhan"
"van LANKVE","COCA JOJA"
"Waldron","FOURNIER"
"Mila","North Celebes"
"GOLD","GROSS"
"FAWCETT","Callaghan"
"Py","PIGANEAU"
"Zorlu N","Turkey"
"Cai ZH","Tai Nan"
"Courrias","Galinsky"
"Stefanov","Batov"
"Sangiorgio","ITALIA JUNIORS"
"Ciara Burn","Northern Ireland"
"Iochev","VITO"
"Ivanova","PENFOLD"
"van PROOIJ","NED AUT"
"Nunes","ITALIA"
"Chen Bing","Shanghai Pudong"
"WEBER","GERMANY"
"KINDERSBEK","FYRUN"
"Moss","Beatty"
"Sussel","SOULET"
"Chiu","Yeh Bros"
"Nuno","SENGKOL LOMBOK"
"Pepsi","Cohler"
"Versace","TC PARIOLI"
"SABBATINI","GAGLIARDI - RM"
"BESSIS T","BESSIS"
"Janiszewsk","TEAM 2"
"East","TURKEY"
"Kiema","Lasse"
"Ventin Juan","Spain"
"Raynaud","Grenthe"
"Gladysh","Gladysh"
"BITRAN A","France"
"FONG","SINGAPORE"
"BESSIS M","GROUPE FRANCE"
"Zhu MR","Kunshan Qiaoxie"
"Kang Meng","Beijing"
"Shi","Yeh"
"Liu FM","Taiwan Shan"
"Aloi","Chagas"
"Beling","POLFA"
"Halasi","Canada"
"Lindqvist","TOPBRIDGE"
"Vorobey","Agressor"
"Zhang ZP","Jiang You"
"Welland","Welland "
"S Auken","Denmark"
"Rodwell E","Nickell"
"R.Klinger","Oz Players"
"JOHANSEN","REKSTAD"
"M.Hendrawa","Indonesia"
"CARMICHAEL","HARRIS"
"GARVEY Tommy","Ireland"
"DRIJVER","The Netherlands"
"Jassem","EW"
"Dhondy","Team 2"
"Liu","China"
"Jagniewski","Team1"
"PILON","IZISEL"
"SELLDEN","SWEDEN"
"Bocchi N","ALLEGRA - TO"
"Li XY","Shou Chuang"
"Vlajnic","Serbia"
"KOKSOY","MINA"
"Fantoni","PARIOLI - ITALY"
"VAN ZWOL","Netherlands"
"Aaron Chen","Ambassdor"
"LI","CHINA HONG KONG"
"TUCZYNSKI","RUCH -POLAND"
"Sundelin","Swedem"
"Fu","SARA"
